from_title,from_date,to_title,to_date,years_between,long_shift_score,sentiment_delta,from_stance,to_stance,from_prediction_style,to_prediction_style,increased_themes,decreased_themes,explanation
Now What?,2008-01-10,Cockroaches in the Coal Mine,2025-11-06,17.8,0.7249,0.4727,opportunistic,constructive,forecasting,warning,cycles (+2.64),"macro (-7.14), rates (-6.55), politics (-1.09)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on cycles (+2.64); less emphasis on macro (-7.14), rates (-6.55), politics (-1.09)"
I’d Rather Be Wrong,2010-03-17,Taking the Temperature,2023-07-10,13.3,0.7248,-0.3545,constructive,constructive,forecasting,warning,"psychology (+4.43), risk (+3.23), cycles (+2.40)","politics (-13.30), macro (-2.43), rates (-0.84)","prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on psychology (+4.43), risk (+3.23), cycles (+2.40); less emphasis on politics (-13.30), macro (-2.43), rates (-0.84)"
Risk in Today's Markets,1994-02-17,Calibrating,2020-04-06,26.1,0.7243,0.3571,cautious,opportunistic,warning,forecasting,"prediction (+2.84), uncertainty (+2.53), cycles (+0.32)","rates (-12.27), credit (-7.42), risk (-5.47)","stance moves from cautious to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on prediction (+2.84), uncertainty (+2.53), cycles (+0.32); less emphasis on rates (-12.27), credit (-7.42), risk (-5.47)"
It’s All a Big Mistake,2012-06-20,Uncertainty,2020-05-11,7.9,0.7241,-0.4335,opportunistic,constructive,warning,forecasting,"macro (+5.98), uncertainty (+1.80), prediction (+0.42)","valuation (-11.68), credit (-11.07), risk (-4.17)","stance moves from opportunistic to constructive; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on macro (+5.98), uncertainty (+1.80), prediction (+0.42); less emphasis on valuation (-11.68), credit (-11.07), risk (-4.17)"
"Microeconomics 101: Supply, Demand and Convertibles",1992-10-08,Bull Market Rhymes,2022-05-26,29.6,0.7241,-0.6912,constructive,opportunistic,forecasting,warning,"psychology (+6.98), cycles (+4.02), macro (+2.12)","valuation (-7.41), credit (-5.00), uncertainty (-1.12)","stance moves from constructive to opportunistic; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on psychology (+6.98), cycles (+4.02), macro (+2.12); less emphasis on valuation (-7.41), credit (-5.00), uncertainty (-1.12)"
Random Thoughts On The Identification Of Inv Opportunities,1994-01-24,Now It’s All Bad?,2007-09-10,13.6,0.724,-0.4941,opportunistic,constructive,forecasting,warning,"risk (+8.27), cycles (+2.62), rates (+1.81)","valuation (-9.26), psychology (-5.77), credit (-3.00)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+8.27), cycles (+2.62), rates (+1.81); less emphasis on valuation (-9.26), psychology (-5.77), credit (-3.00)"
Risk in Today's Markets,1994-02-17,What's Going On?,2003-05-16,9.2,0.724,0.75,cautious,opportunistic,warning,forecasting,"credit (+15.66), cycles (+5.24), prediction (+2.01)","risk (-8.25), rates (-7.67), psychology (-1.39)","stance moves from cautious to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on credit (+15.66), cycles (+5.24), prediction (+2.01); less emphasis on risk (-8.25), rates (-7.67), psychology (-1.39)"
A Case in Point,2005-06-06,Latest Update,2020-03-19,14.8,0.724,-0.532,opportunistic,alarmed,forecasting,forecasting,"macro (+5.28), rates (+4.09), psychology (+1.41)","valuation (-8.60), credit (-6.27)","stance moves from opportunistic to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on macro (+5.28), rates (+4.09), psychology (+1.41); less emphasis on valuation (-8.60), credit (-6.27)"
A Case in Point,2005-06-06,Expert Opinion,2017-01-10,11.6,0.7238,-0.3534,opportunistic,constructive,forecasting,forecasting,"politics (+5.93), rates (+4.75), macro (+3.39)","credit (-9.18), valuation (-8.00), risk (-3.92)","stance moves from opportunistic to constructive; later memo is materially more defensive / bearish in tone; greater emphasis on politics (+5.93), rates (+4.75), macro (+3.39); less emphasis on credit (-9.18), valuation (-8.00), risk (-3.92)"
First Quarter Performance,1991-04-11,Nobody Knows,2008-09-19,17.4,0.7235,0.0455,cautious,constructive,forecasting,forecasting,"politics (+0.77), uncertainty (+0.77), valuation (+0.75)","cycles (-17.75), credit (-8.50), psychology (-4.25)","stance moves from cautious to constructive; greater emphasis on politics (+0.77), uncertainty (+0.77), valuation (+0.75); less emphasis on cycles (-17.75), credit (-8.50), psychology (-4.25)"
Investment Miscellany,2000-11-16,The New Paradigm,2006-10-19,5.9,0.7233,0.8833,alarmed,opportunistic,warning,forecasting,"credit (+5.80), rates (+4.04), cycles (+1.10)","technology_ai (-3.83), valuation (-2.95), macro (-1.10)","stance moves from alarmed to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on credit (+5.80), rates (+4.04), cycles (+1.10); less emphasis on technology_ai (-3.83), valuation (-2.95), macro (-1.10)"
The Value of Predictions II (or 'Give That Man a Cigar'),1996-07-22,Lessons from Silicon Valley Bank,2023-04-17,26.7,0.723,-0.8333,constructive,constructive,forecasting,forecasting,"credit (+7.54), risk (+4.16), politics (+3.46)","prediction (-19.36), rates (-2.35), macro (-1.83)","later memo is materially more defensive / bearish in tone; greater emphasis on credit (+7.54), risk (+4.16), politics (+3.46); less emphasis on prediction (-19.36), rates (-2.35), macro (-1.83)"
Notes from New York,2001-09-16,The Lessons of Oil,2014-12-18,13.3,0.7229,0.6821,constructive,opportunistic,forecasting,forecasting,"valuation (+10.04), macro (+4.94), credit (+4.86)","risk (-4.49), politics (-1.63)","stance moves from constructive to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+10.04), macro (+4.94), credit (+4.86); less emphasis on risk (-4.49), politics (-1.63)"
"Hey, Steward!!",2004-03-16,Gimme Credit,2025-03-06,21.0,0.7229,-0.3158,constructive,constructive,forecasting,forecasting,"credit (+64.92), risk (+14.32), valuation (+7.34)",politics (-0.65),"later memo is materially more defensive / bearish in tone; greater emphasis on credit (+64.92), risk (+14.32), valuation (+7.34); less emphasis on politics (-0.65)"
Risk Revisited Again,2015-06-08,Something of Value,2021-01-11,5.6,0.7228,0.0109,constructive,opportunistic,warning,forecasting,"valuation (+14.67), macro (+4.82), credit (+2.86)","risk (-18.28), prediction (-5.87), uncertainty (-1.02)","stance moves from constructive to opportunistic; prediction posture moves from warning to forecasting; greater emphasis on valuation (+14.67), macro (+4.82), credit (+2.86); less emphasis on risk (-18.28), prediction (-5.87), uncertainty (-1.02)"
Now It’s All Bad?,2007-09-10,Growing the Pie,2019-04-01,11.6,0.7228,0.3119,constructive,opportunistic,warning,forecasting,"macro (+4.96), politics (+2.34)","credit (-11.27), risk (-9.84), cycles (-2.62)","stance moves from constructive to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+4.96), politics (+2.34); less emphasis on credit (-11.27), risk (-9.84), cycles (-2.62)"
Investment Miscellany,2000-11-16,Doesn’t Make Sense,2008-07-31,7.7,0.7228,1.1111,alarmed,opportunistic,warning,forecasting,"credit (+2.70), politics (+1.47), rates (+0.86)","valuation (-4.16), technology_ai (-3.80), risk (-1.96)","stance moves from alarmed to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on credit (+2.70), politics (+1.47), rates (+0.86); less emphasis on valuation (-4.16), technology_ai (-3.80), risk (-1.96)"
Oaktree at Ten,2005-04-11,Warning Flags,2010-05-12,5.1,0.7227,-0.5813,constructive,opportunistic,forecasting,warning,"credit (+14.77), risk (+12.42), psychology (+6.23)","macro (-2.27), uncertainty (-0.41)","stance moves from constructive to opportunistic; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+14.77), risk (+12.42), psychology (+6.23); less emphasis on macro (-2.27), uncertainty (-0.41)"
I’d Rather Be Wrong,2010-03-17,Inspiration from the World of Sports,2015-10-22,5.6,0.7227,0.4832,constructive,constructive,forecasting,forecasting,"valuation (+2.49), technology_ai (+0.98), uncertainty (+0.49)","politics (-13.49), macro (-3.72), rates (-1.40)","later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+2.49), technology_ai (+0.98), uncertainty (+0.49); less emphasis on politics (-13.49), macro (-3.72), rates (-1.40)"
It’s All Very Taxing,2011-11-16,A Look Under the Hood,2025-10-28,13.9,0.7227,-0.3056,constructive,constructive,forecasting,warning,"risk (+15.41), valuation (+3.00), prediction (+1.15)","rates (-5.26), politics (-4.27), macro (-3.73)","prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+15.41), valuation (+3.00), prediction (+1.15); less emphasis on rates (-5.26), politics (-4.27), macro (-3.73)"
Notes from New York,2001-09-16,The Indispensability of Risk,2024-04-17,22.6,0.7225,0.1071,constructive,humble,forecasting,warning,"risk (+19.79), valuation (+5.57), prediction (+3.19)","politics (-1.63), credit (-0.41), technology_ai (-0.41)","stance moves from constructive to humble; prediction posture moves from forecasting to warning; greater emphasis on risk (+19.79), valuation (+5.57), prediction (+3.19); less emphasis on politics (-1.63), credit (-0.41), technology_ai (-0.41)"
Will It Be Different This Time?,1996-11-25,The Race Is On,2013-11-26,17.0,0.7225,-0.5606,constructive,alarmed,forecasting,warning,"risk (+8.64), credit (+7.23), valuation (+5.39)","macro (-7.69), politics (-3.29), cycles (-2.76)","stance moves from constructive to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+8.64), credit (+7.23), valuation (+5.39); less emphasis on macro (-7.69), politics (-3.29), cycles (-2.76)"
What Does the Market Know?,2016-01-19,AI Hurtles Ahead,2026-02-26,10.1,0.7225,0.0959,opportunistic,constructive,forecasting,forecasting,"technology_ai (+24.07), uncertainty (+0.19)","valuation (-14.64), credit (-10.32), psychology (-3.74)","stance moves from opportunistic to constructive; greater emphasis on technology_ai (+24.07), uncertainty (+0.19); less emphasis on valuation (-14.64), credit (-10.32), psychology (-3.74)"
"Microeconomics 101: Supply, Demand and Convertibles",1992-10-08,Down to the Wire,2011-07-21,18.8,0.7223,-0.8269,constructive,alarmed,forecasting,forecasting,"credit (+9.70), macro (+8.97), politics (+4.64)","valuation (-12.28), uncertainty (-1.12), risk (-0.69)","stance moves from constructive to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+9.70), macro (+8.97), politics (+4.64); less emphasis on valuation (-12.28), uncertainty (-1.12), risk (-0.69)"
Volatility + Leverage = Dynamite,2008-12-17,Uncertainty,2020-05-11,11.4,0.7222,-0.4385,opportunistic,constructive,warning,forecasting,"macro (+6.01), uncertainty (+2.09), prediction (+1.99)","risk (-10.22), credit (-6.17), valuation (-4.54)","stance moves from opportunistic to constructive; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on macro (+6.01), uncertainty (+2.09), prediction (+1.99); less emphasis on risk (-10.22), credit (-6.17), valuation (-4.54)"
The Route to Performance,1990-10-12,Easy Money,2024-01-09,33.2,0.7221,-0.4022,constructive,opportunistic,forecasting,warning,"rates (+29.18), cycles (+5.39), macro (+5.20)",uncertainty (-1.32),"stance moves from constructive to opportunistic; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on rates (+29.18), cycles (+5.39), macro (+5.20); less emphasis on uncertainty (-1.32)"
What’s Your Game Plan?,2003-09-05,Time for Thinking,2020-08-05,16.9,0.7221,-0.5614,constructive,constructive,preparation,forecasting,"macro (+13.34), rates (+9.26), credit (+4.39)",risk (-0.19),"prediction posture moves from preparation to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on macro (+13.34), rates (+9.26), credit (+4.39); less emphasis on risk (-0.19)"
A Case in Point,2005-06-06,The Race Is On,2013-11-26,8.5,0.7221,-0.953,opportunistic,alarmed,forecasting,warning,"cycles (+5.13), risk (+4.95), macro (+4.81)",valuation (-1.46),"stance moves from opportunistic to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on cycles (+5.13), risk (+4.95), macro (+4.81); less emphasis on valuation (-1.46)"
What Worries Me,2008-08-28,Risk Revisited,2014-09-03,6.0,0.722,-0.3283,constructive,constructive,forecasting,warning,"risk (+24.00), prediction (+3.98), valuation (+3.41)","macro (-4.57), politics (-2.24), technology_ai (-0.56)","prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+24.00), prediction (+3.98), valuation (+3.41); less emphasis on macro (-4.57), politics (-2.24), technology_ai (-0.56)"
Risk and Return Today,2004-10-27,Not Enough,2020-06-11,15.6,0.7219,0.2643,opportunistic,opportunistic,warning,forecasting,"macro (+2.67), politics (+1.74), psychology (+1.01)","risk (-14.17), credit (-12.71), valuation (-10.53)","prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+2.67), politics (+1.74), psychology (+1.01); less emphasis on risk (-14.17), credit (-12.71), valuation (-10.53)"
Risk and Return Today,2004-10-27,Lines in the Sand,2017-04-18,12.5,0.7219,0.175,opportunistic,constructive,warning,forecasting,none,"risk (-13.17), credit (-11.05), rates (-4.18)","stance moves from opportunistic to constructive; prediction posture moves from warning to forecasting; less emphasis on risk (-13.17), credit (-11.05), rates (-4.18)"
Liquidity,2015-03-25,The Indispensability of Risk,2024-04-17,9.1,0.7219,-0.0735,opportunistic,humble,forecasting,warning,"risk (+22.84), prediction (+2.99), uncertainty (+0.46)","credit (-4.31), valuation (-3.67), rates (-1.23)","stance moves from opportunistic to humble; prediction posture moves from forecasting to warning; greater emphasis on risk (+22.84), prediction (+2.99), uncertainty (+0.46); less emphasis on credit (-4.31), valuation (-3.67), rates (-1.23)"
What’s Behind the Downturn?,2011-09-07,A Look Under the Hood,2025-10-28,14.1,0.7214,0.5833,constructive,constructive,forecasting,warning,"risk (+12.23), valuation (+2.91), technology_ai (+0.30)","credit (-9.52), macro (-5.30), prediction (-1.93)","prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on risk (+12.23), valuation (+2.91), technology_ai (+0.30); less emphasis on credit (-9.52), macro (-5.30), prediction (-1.93)"
"Microeconomics 101: Supply, Demand and Convertibles",1992-10-08,Assessing Performance Records – A Case Study,2012-02-15,19.4,0.7213,-0.6591,constructive,opportunistic,forecasting,warning,"macro (+3.84), risk (+3.53), technology_ai (+1.54)","valuation (-6.51), credit (-5.93), uncertainty (-0.73)","stance moves from constructive to opportunistic; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on macro (+3.84), risk (+3.53), technology_ai (+1.54); less emphasis on valuation (-6.51), credit (-5.93), uncertainty (-0.73)"
Risk in Today's Markets,1994-02-17,Tell Me I’m Wrong,2010-01-22,15.9,0.7212,0.4429,cautious,opportunistic,warning,forecasting,"macro (+13.05), politics (+3.38), prediction (+1.21)","risk (-9.78), psychology (-4.29), credit (-3.29)","stance moves from cautious to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+13.05), politics (+3.38), prediction (+1.21); less emphasis on risk (-9.78), psychology (-4.29), credit (-3.29)"
Warning Flags,2010-05-12,More on Repealing the Laws of Economics,2025-06-18,15.1,0.7212,0.4875,opportunistic,constructive,warning,forecasting,"macro (+5.69), politics (+3.57), valuation (+1.14)","credit (-20.37), risk (-11.71), psychology (-5.99)","stance moves from opportunistic to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+5.69), politics (+3.57), valuation (+1.14); less emphasis on credit (-20.37), risk (-11.71), psychology (-5.99)"
Genius Isn't Enough (and Other Lessons from Long-Term Capital Management),1998-10-09,I’d Rather Be Wrong,2010-03-17,11.4,0.7212,-0.3896,constructive,constructive,warning,forecasting,"politics (+12.45), macro (+1.64)","credit (-7.38), risk (-6.11), cycles (-2.77)","prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on politics (+12.45), macro (+1.64); less emphasis on credit (-7.38), risk (-6.11), cycles (-2.77)"
What’s Your Game Plan?,2003-09-05,Which Way Now?,2020-03-31,16.6,0.7211,-0.5011,constructive,constructive,preparation,forecasting,"macro (+11.02), politics (+3.98), valuation (+2.98)",cycles (-0.74),"prediction posture moves from preparation to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on macro (+11.02), politics (+3.98), valuation (+2.98); less emphasis on cycles (-0.74)"
Now What?,2008-01-10,A Look Under the Hood,2025-10-28,17.8,0.7211,0.3561,opportunistic,constructive,forecasting,warning,"risk (+10.08), politics (+1.22), prediction (+0.94)","credit (-13.26), macro (-7.75), rates (-7.61)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on risk (+10.08), politics (+1.22), prediction (+0.94); less emphasis on credit (-13.26), macro (-7.75), rates (-7.61)"
Oaktree at Ten,2005-04-11,Risk Revisited Again,2015-06-08,10.2,0.721,-0.3465,constructive,constructive,forecasting,warning,"risk (+18.30), prediction (+6.22), valuation (+3.03)","credit (-6.91), macro (-1.65)","prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+18.30), prediction (+6.22), valuation (+3.03); less emphasis on credit (-6.91), macro (-1.65)"
A Case in Point,2005-06-06,Which Way Now?,2020-03-31,14.8,0.7204,-0.3855,opportunistic,constructive,forecasting,forecasting,"macro (+11.02), politics (+3.98), rates (+1.26)","credit (-7.30), valuation (-5.81), risk (-0.67)","stance moves from opportunistic to constructive; later memo is materially more defensive / bearish in tone; greater emphasis on macro (+11.02), politics (+3.98), rates (+1.26); less emphasis on credit (-7.30), valuation (-5.81), risk (-0.67)"
The Long View,2009-01-09,Investing Without People,2018-06-18,9.4,0.7203,0.3986,constructive,opportunistic,warning,forecasting,"valuation (+2.64), prediction (+0.48)","credit (-7.12), cycles (-5.66), macro (-4.49)","stance moves from constructive to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+2.64), prediction (+0.48); less emphasis on credit (-7.12), cycles (-5.66), macro (-4.49)"
Calibrating,2020-04-06,Cockroaches in the Coal Mine,2025-11-06,5.6,0.7201,0.3429,opportunistic,constructive,forecasting,warning,"credit (+11.53), cycles (+4.28), psychology (+1.10)","prediction (-2.84), uncertainty (-1.82), valuation (-1.28)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on credit (+11.53), cycles (+4.28), psychology (+1.10); less emphasis on prediction (-2.84), uncertainty (-1.82), valuation (-1.28)"
What’s Your Game Plan?,2003-09-05,Nobody Knows,2008-09-19,5.0,0.7201,-0.7806,constructive,constructive,preparation,forecasting,"risk (+5.09), cycles (+4.32), valuation (+3.90)",none,"prediction posture moves from preparation to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+5.09), cycles (+4.32), valuation (+3.90)"
Us and Them,2004-05-07,AI Hurtles Ahead,2026-02-26,21.8,0.72,-0.2861,opportunistic,constructive,forecasting,forecasting,"technology_ai (+23.74), psychology (+0.46), uncertainty (+0.19)","rates (-8.16), macro (-3.42), valuation (-2.67)","stance moves from opportunistic to constructive; later memo is materially more defensive / bearish in tone; greater emphasis on technology_ai (+23.74), psychology (+0.46), uncertainty (+0.19); less emphasis on rates (-8.16), macro (-3.42), valuation (-2.67)"
How Does An Inefficient Market Get That Way,1994-07-15,Dare to Be Great,2006-09-07,12.1,0.7198,-0.3571,opportunistic,constructive,warning,forecasting,"technology_ai (+1.17), macro (+0.47), politics (+0.23)","credit (-19.91), valuation (-8.87), risk (-4.14)","stance moves from opportunistic to constructive; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on technology_ai (+1.17), macro (+0.47), politics (+0.23); less emphasis on credit (-19.91), valuation (-8.87), risk (-4.14)"
Risk,2006-01-19,You Bet!,2026-03-24,20.2,0.7197,-0.0049,constructive,constructive,warning,forecasting,"uncertainty (+1.47), macro (+0.36), psychology (+0.36)","risk (-25.36), valuation (-4.59), prediction (-1.44)","prediction posture moves from warning to forecasting; greater emphasis on uncertainty (+1.47), macro (+0.36), psychology (+0.36); less emphasis on risk (-25.36), valuation (-4.59), prediction (-1.44)"
How Does An Inefficient Market Get That Way,1994-07-15,Whad’Ya Know?,2003-03-11,8.7,0.7196,-0.3375,opportunistic,opportunistic,warning,forecasting,"macro (+2.76), rates (+1.38), prediction (+1.16)","credit (-18.55), valuation (-7.19), risk (-5.59)","prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on macro (+2.76), rates (+1.38), prediction (+1.16); less emphasis on credit (-18.55), valuation (-7.19), risk (-5.59)"
How the Game Should Be Played,1995-05-26,What’s Your Game Plan?,2003-09-05,8.3,0.7196,0.3261,opportunistic,constructive,forecasting,preparation,credit (+2.00),"risk (-2.39), prediction (-1.94), valuation (-0.45)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to preparation; later memo is materially more constructive / bullish in tone; greater emphasis on credit (+2.00); less emphasis on risk (-2.39), prediction (-1.94), valuation (-0.45)"
First Quarter Performance,1991-04-11,Gimme Credit,2025-03-06,33.9,0.7195,0.6842,cautious,constructive,forecasting,forecasting,"credit (+53.07), risk (+9.19), valuation (+4.47)","cycles (-23.12), psychology (-3.45), macro (-2.52)","stance moves from cautious to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on credit (+53.07), risk (+9.19), valuation (+4.47); less emphasis on cycles (-23.12), psychology (-3.45), macro (-2.52)"
How's the Market?,1999-04-15,Growing the Pie,2019-04-01,20.0,0.7192,-0.2692,constructive,opportunistic,forecasting,forecasting,"politics (+2.74), risk (+1.03), psychology (+0.69)","rates (-8.41), valuation (-7.36), credit (-3.15)","stance moves from constructive to opportunistic; later memo is materially more defensive / bearish in tone; greater emphasis on politics (+2.74), risk (+1.03), psychology (+0.69); less emphasis on rates (-8.41), valuation (-7.36), credit (-3.15)"
I’d Rather Be Wrong,2010-03-17,Further Thoughts on Sea Change,2023-10-11,13.6,0.7191,-0.1952,constructive,opportunistic,forecasting,forecasting,"rates (+29.52), credit (+9.85), valuation (+3.32)",politics (-12.64),"stance moves from constructive to opportunistic; greater emphasis on rates (+29.52), credit (+9.85), valuation (+3.32); less emphasis on politics (-12.64)"
You Can't Predict. You Can Prepare.,2001-11-20,No Different This Time – The Lessons of ‘07,2007-12-17,6.1,0.7189,-0.3604,constructive,constructive,forecasting,warning,"risk (+11.45), valuation (+4.74), credit (+2.37)","macro (-10.99), cycles (-10.04), rates (-1.97)","prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+11.45), valuation (+4.74), credit (+2.37); less emphasis on macro (-10.99), cycles (-10.04), rates (-1.97)"
Investment Miscellany,2000-11-16,Sea Change,2022-12-13,22.1,0.7187,0.9295,alarmed,opportunistic,warning,warning,"rates (+22.15), macro (+10.98), credit (+10.88)","technology_ai (-3.50), valuation (-1.05), prediction (-0.74)","stance moves from alarmed to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on rates (+22.15), macro (+10.98), credit (+10.88); less emphasis on technology_ai (-3.50), valuation (-1.05), prediction (-0.74)"
Returns and How They Get That Way,2002-11-11,The Indispensability of Risk,2024-04-17,21.4,0.7187,-0.3194,opportunistic,humble,forecasting,warning,"risk (+21.04), uncertainty (+1.03), prediction (+0.95)","valuation (-14.08), macro (-3.49), technology_ai (-0.50)","stance moves from opportunistic to humble; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+21.04), uncertainty (+1.03), prediction (+0.95); less emphasis on valuation (-14.08), macro (-3.49), technology_ai (-0.50)"
Will It Work?,2009-03-05,Gimme Credit,2025-03-06,16.0,0.7186,0.2467,constructive,constructive,forecasting,forecasting,"credit (+63.88), risk (+12.78), valuation (+6.37)","politics (-9.49), macro (-1.10), uncertainty (-0.49)","later memo is materially more constructive / bullish in tone; greater emphasis on credit (+63.88), risk (+12.78), valuation (+6.37); less emphasis on politics (-9.49), macro (-1.10), uncertainty (-0.49)"
All That Glitters,2010-12-17,Not Enough,2020-06-11,9.5,0.7186,0.736,humble,opportunistic,forecasting,forecasting,"macro (+1.84), psychology (+1.26)","valuation (-16.43), uncertainty (-2.42), credit (-0.97)","stance moves from humble to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+1.84), psychology (+1.26); less emphasis on valuation (-16.43), uncertainty (-2.42), credit (-0.97)"
Irrational Exuberance,2000-05-01,You Bet!,2026-03-24,25.9,0.7185,0.2715,opportunistic,constructive,warning,forecasting,"uncertainty (+1.96), prediction (+0.63)","valuation (-3.94), macro (-3.32), rates (-3.06)","stance moves from opportunistic to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on uncertainty (+1.96), prediction (+0.63); less emphasis on valuation (-3.94), macro (-3.32), rates (-3.06)"
What's Going On?,2003-05-16,Assessing Performance Records – A Case Study,2012-02-15,8.8,0.7185,-0.6591,opportunistic,opportunistic,forecasting,warning,"macro (+2.63), risk (+2.54), technology_ai (+1.54)","credit (-24.21), cycles (-5.24), rates (-5.24)","prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on macro (+2.63), risk (+2.54), technology_ai (+1.54); less emphasis on credit (-24.21), cycles (-5.24), rates (-5.24)"
Yet Again?,2017-09-07,On Bubble Watch,2025-01-02,7.3,0.7185,-0.5625,opportunistic,alarmed,forecasting,warning,"technology_ai (+3.24), macro (+1.82), rates (+1.21)","valuation (-3.23), cycles (-2.06), risk (-1.44)","stance moves from opportunistic to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on technology_ai (+3.24), macro (+1.82), rates (+1.21); less emphasis on valuation (-3.23), cycles (-2.06), risk (-1.44)"
Are You An Investor or a Speculator?,1997-09-03,So Much That’s False and Nutty,2009-07-08,11.8,0.7184,-0.3657,opportunistic,alarmed,forecasting,warning,"risk (+10.01), credit (+2.09)","rates (-9.78), valuation (-7.73), macro (-5.49)","stance moves from opportunistic to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+10.01), credit (+2.09); less emphasis on rates (-9.78), valuation (-7.73), macro (-5.49)"
What's Going On?,2003-05-16,Nobody Knows,2008-09-19,5.3,0.7184,-0.7045,opportunistic,constructive,forecasting,forecasting,"risk (+2.91), macro (+1.09), politics (+0.77)","credit (-19.99), rates (-3.70), valuation (-3.05)","stance moves from opportunistic to constructive; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+2.91), macro (+1.09), politics (+0.77); less emphasis on credit (-19.99), rates (-3.70), valuation (-3.05)"
Volatility + Leverage = Dynamite,2008-12-17,Implications of the Election,2016-11-07,7.9,0.718,0.0706,opportunistic,constructive,warning,forecasting,"politics (+14.20), macro (+2.84), psychology (+1.41)","risk (-10.83), credit (-8.74), valuation (-5.58)","stance moves from opportunistic to constructive; prediction posture moves from warning to forecasting; greater emphasis on politics (+14.20), macro (+2.84), psychology (+1.41); less emphasis on risk (-10.83), credit (-8.74), valuation (-5.58)"
Whodunit,2008-02-20,Growing the Pie,2019-04-01,11.1,0.7178,0.5224,constructive,opportunistic,warning,forecasting,"macro (+4.80), politics (+2.74), psychology (+0.69)","risk (-9.00), credit (-6.84), rates (-5.47)","stance moves from constructive to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+4.80), politics (+2.74), psychology (+0.69); less emphasis on risk (-9.00), credit (-6.84), rates (-5.47)"
